Code,Faction,Class,KB,D,HK,DD,HD,OP,VP,Honor,Win,Lose,Rol,BE
TK1,Alliance,Death Knight,6,3,58,25925,11314,4,444,554,1,,dps,
TK1,Alliance,Mage,6,2,57,28438,5258,1,120,251,1,,dps,
TK1,Alliance,Druid,8,3,55,45584,7932,,80,547,1,,dps,
TK1,Alliance,Shaman,0,0,59,7664,54796,,0,405,1,,heal,
TK1,Horde,Warrior,2,6,12,32693,7929,,20,185,,1,dps,
TK1,Alliance,Paladin,8,0,63,36252,11032,,80,413,1,,dps,
TK1,Alliance,Druid,0,0,63,519,112000,,0,563,1,,heal,
TK1,Horde,Warlock,0,7,11,26600,16275,,0,183,,1,dps,
TK1,Horde,Mage,0,8,11,29222,19680,2,70,183,,1,dps,
TK1,Horde,Paladin,1,8,13,30888,4536,2,48,187,,1,dps,
TK1,Horde,Demon Hunter,3,6,12,53560,3941,2,102,185,,1,dps,
TK1,Horde,Shaman,1,7,13,4277,26203,6,195,187,,1,heal,
TK1,Horde,Hunter,3,4,14,55258,1439,1,142,189,,1,dps,
TK1,Alliance,Warlock,7,2,53,30572,25501,2,274,396,1,,dps,
TK1,Alliance,Warrior,12,1,59,50490,11310,,120,555,1,,dps,
TK1,Horde,Demon Hunter,4,7,11,44185,4955,2,96,183,,1,dps,
TK1,Alliance,Paladin,3,3,62,21305,5853,3,271,561,1,,dps,
TK1,Horde,Monk,0,4,11,182,19596,3,145,183,,1,heal,
TK1,Horde,Warlock,0,6,12,7665,7230,1,72,185,,1,dps,
TK1,Alliance,Rogue,12,0,63,40777,2773,,120,413,1,,dps,
TK2,Alliance,Warrior,7,3,39,47600,15357,2,416,562,1,,dps,
TK2,Alliance,Druid,0,0,40,727,98081,,0,789,1,,heal,
TK2,Horde,Monk,0,4,11,4183,77442,1,17,157,,1,heal,
TK2,Horde,Death Knight,1,3,14,36888,7085,2,102,163,,1,dps,
TK2,Horde,Druid,1,7,9,43025,5737,,10,153,,1,dps,
TK2,Alliance,Paladin,7,0,40,79804,11908,,70,564,1,,dps,
TK2,Horde,Shaman,0,3,9,6092,28164,2,194,153,,1,heal,
TK2,Alliance,Warrior,9,2,38,58892,13942,3,430,784,1,,dps,
TK2,Alliance,Hunter,1,3,35,30043,1733,2,221,551,1,,dps,
TK2,Horde,Warlock,1,1,10,54384,15453,,10,145,,1,dps,
TK2,Horde,Warrior,4,6,13,51673,3985,1,92,161,,1,dps,
TK2,Horde,Warrior,1,4,14,43972,21916,,10,163,,1,dps,
TK2,Horde,Warrior,3,5,10,52674,5553,,30,155,,1,dps,
TK2,Alliance,Druid,1,0,40,2881,76860,,10,564,1,,heal,
TK2,Alliance,Mage,4,0,40,39389,2558,1,103,564,1,,dps,
TK2,Horde,Warrior,1,6,10,40636,7398,2,72,155,,1,dps,
TK2,Alliance,Death Knight,5,2,39,46325,38957,2,78,787,1,,dps,
TK2,Horde,Shaman,0,0,6,420,21512,,0,147,,1,heal,
TK2,Alliance,Death Knight,2,3,37,52797,10996,1,36,556,1,,dps,
TK2,Alliance,Druid,4,2,35,55274,10055,2,179,551,1,,dps,
TK3,Alliance,Paladin,1,3,19,28403,9156,,10,260,,1,dps,
TK3,Horde,Demon Hunter,4,4,36,33317,8092,2,220,532,1,,dps,
TK3,Horde,Demon Hunter,3,2,41,15656,3075,3,286,542,1,,dps,
TK3,Horde,Mage,4,1,42,32779,8813,,40,544,1,,dps,
TK3,Horde,Death Knight,5,2,38,27892,21767,2,208,536,1,,dps,
TK3,Alliance,Shaman,2,7,16,31373,2979,,20,250,,1,dps,
TK3,Horde,Warlock,6,4,35,34928,21698,3,204,380,1,,dps,
TK3,Horde,Hunter,6,2,40,36875,3791,3,328,540,1,,dps,
TK3,Alliance,Monk,4,6,20,40171,15493,2,118,262,,1,dps,
TK3,Horde,Shaman,0,3,36,9444,115000,3,126,532,1,,heal,
TK3,Alliance,Mage,3,5,14,80459,25562,2,80,243,,1,dps,
TK3,Alliance,Warrior,6,6,18,58965,10083,,60,261,,1,dps,
TK3,Alliance,Demon Hunter,2,3,21,18810,10863,3,202,267,,1,dps,
TK3,Alliance,Warrior,1,2,7,27430,3198,,10,163,,1,dps,
TK3,Alliance,Warlock,1,2,4,14054,3579,,10,154,,1,dps,
TK3,Horde,Demon Hunter,5,2,38,42652,6062,,50,536,1,,dps,
TK3,Alliance,Paladin,2,4,17,17365,6644,2,64,256,,1,dps,
TK3,Alliance,Rogue,1,5,18,40260,1691,,10,258,,1,dps,
TK3,Horde,Warlock,3,3,42,38129,18149,,30,544,1,,dps,
TK3,Horde,Paladin,6,0,44,56388,19717,,60,548,1,,dps,
TK4,Alliance,Paladin,15,3,51,110000,25344,1,182,406,,1,dps,
TK4,Alliance,Warlock,12,2,53,107000,33890,,120,414,,1,dps,
TK4,Horde,Shaman,10,4,41,89306,13354,1,132,535,1,,dps,
TK4,Alliance,Hunter,9,5,48,111000,8083,2,210,399,,1,dps,
TK4,Horde,Paladin,8,6,39,71519,14853,2,116,531,1,,dps,
TK4,Horde,Warrior,8,5,41,57200,10280,4,218,385,1,,dps,
TK4,Horde,Druid,7,7,38,56858,4410,2,200,529,1,,dps,
TK4,Alliance,Death Knight,6,3,51,62616,20198,,60,406,,1,dps,
TK4,Alliance,Death Knight,5,7,45,52500,14125,3,164,391,,1,dps,
TK4,Horde,Mage,4,4,41,75821,18728,2,138,535,1,,dps,
TK4,Alliance,Warrior,3,7,40,49141,5890,1,54,378,,1,dps,
TK4,Horde,Rogue,3,5,38,58952,3635,,30,529,1,,dps,
TK4,Horde,Druid,2,6,34,24641,9937,3,144,521,1,,dps,
TK4,Alliance,Mage,2,6,42,40390,12718,3,120,388,,1,dps,
TK4,Alliance,Priest,1,1,54,32768,95948,,10,417,,1,heal,
TK4,Horde,Shaman,0,8,35,10532,109000,5,210,523,1,,heal,
TK4,Alliance,Paladin,0,5,44,8162,31777,4,132,391,,1,heal,
TK4,Horde,Death Knight,0,5,35,30200,50294,5,284,373,1,,dps,
TK4,Alliance,Mage,0,4,41,33043,5391,4,144,383,,1,dps,
TK4,Horde,Druid,0,4,38,842,98411,2,44,379,1,,heal,
TK5,Alliance,Hunter,5,2,27,52828,4933,,50,337,,1,dps,
TK5,Horde,Demon Hunter,8,1,56,78372,9397,1,104,563,1,,dps,
TK5,Alliance,Demon Hunter,2,8,17,67018,13042,,20,309,,1,dps,
TK5,Horde,Warrior,11,3,50,61415,14373,1,172,401,1,,dps,
TK5,Horde,Demon Hunter,7,5,48,44773,6194,3,260,395,1,,dps,
TK5,Alliance,Death Knight,4,7,19,47193,17033,6,322,308,,1,dps,
TK5,Alliance,Druid,4,3,26,85965,12005,,40,336,,1,dps,
TK5,Horde,Warlock,4,5,49,53797,32985,1,114,393,1,,dps,
TK5,Horde,Shaman,0,4,52,19266,76639,3,126,555,1,,heal,
TK5,Alliance,Mage,0,7,21,16805,5233,,0,318,,1,dps,
TK5,Alliance,Priest,0,6,19,2014,20466,1,44,309,,1,heal,
TK5,Alliance,Shaman,1,3,26,50143,13530,3,198,334,,1,dps,
TK5,Horde,Druid,1,5,41,23257,10814,3,200,531,1,,dps,
TK5,Horde,Priest,3,0,56,20153,152000,,30,413,1,,heal,
TK5,Horde,Rogue,5,3,52,57792,2635,1,110,551,1,,dps,
TK5,Horde,Druid,3,3,49,16615,12417,3,256,549,1,,dps,
TK5,Alliance,Priest,2,5,22,14164,51093,4,168,323,,1,heal,
TK5,Alliance,Warrior,5,7,20,66317,12336,,50,317,,1,dps,
TK5,Alliance,Warrior,2,7,22,56111,6297,2,92,318,,1,dps,
TK5,Horde,Warrior,15,0,56,88713,14976,,150,413,1,,dps,
TK6,Alliance,Demon Hunter,4,6,19,40144,2364,1,54,165,,1,dps,
TK6,Horde,Mage,0,2,37,19317,4111,,0,520,1,,dps,
TK6,Alliance,Paladin,1,5,20,1450,21173,4,58,169,,1,heal,
TK6,Alliance,Warlock,3,3,25,24614,11955,,30,179,,1,dps,
TK6,Alliance,Mage,0,4,16,24478,5175,1,26,157,,1,dps,
TK6,Horde,Mage,3,3,37,16050,5989,,30,518,1,,dps,
TK6,Horde,Warrior,3,2,39,18658,10170,3,337,522,1,,dps,
TK6,Horde,Shaman,0,2,39,4783,49940,2,138,522,1,,heal,
TK6,Horde,Rogue,7,2,35,21936,4953,1,159,366,1,,dps,
TK6,Alliance,Demon Hunter,1,6,16,12232,4278,3,144,163,,1,dps,
TK6,Alliance,Death Knight,2,4,23,23452,24221,1,32,173,,1,dps,
TK6,Horde,Rogue,7,2,36,16219,4135,2,275,516,1,,dps,
TK6,Horde,Mage,6,3,39,25811,5031,,60,522,1,,dps,
TK6,Horde,Warlock,7,2,39,25832,16403,,70,374,1,,dps,
TK6,Alliance,Hunter,5,4,23,15034,1119,1,66,173,,1,dps,
TK6,Alliance,Druid,0,2,18,417,593,1,115,165,,1,heal,
TK6,Alliance,Rogue,5,3,21,15941,3727,,50,167,,1,dps,
TK6,Horde,Warrior,5,5,37,16834,0,3,251,368,1,,dps,
TK6,Horde,Rogue,2,2,41,18018,3654,,20,528,1,,dps,
TK6,Alliance,Warlock,2,4,23,8873,11163,,20,173,,1,dps,
TK7,Horde,Rogue,4,2,30,21243,2127,2,174,508,1,,dps,
TK7,Alliance,Druid,7,4,28,29090,7893,,70,193,,1,dps,
TK7,Horde,Rogue,2,3,35,18594,1540,,20,368,1,,dps,
TK7,Horde,Warrior,10,3,34,23982,982,2,271,366,1,,dps,
TK7,Alliance,Druid,0,2,29,657,29445,1,56,195,,1,heal,
TK7,Alliance,Mage,2,5,25,18870,4399,2,128,187,,1,dps,
TK7,Horde,Warrior,6,3,33,29098,1119,3,274,364,1,,dps,
TK7,Horde,Shaman,0,4,33,7964,36776,5,372,513,1,,heal,
TK7,Alliance,Shaman,0,7,24,459,21956,6,220,185,,1,heal,
TK7,Alliance,Demon Hunter,8,4,28,39718,4707,1,108,193,,1,dps,
TK7,Horde,Druid,2,2,34,11218,2420,2,222,365,1,,dps,
TK7,Alliance,Rogue,4,1,30,15663,1121,,40,197,,1,dps,
TK7,Alliance,Druid,1,2,30,408,33430,,10,197,,1,heal,
TK7,Alliance,Shaman,0,0,30,7165,35460,,0,197,,1,heal,
TK7,Horde,Demon Hunter,5,4,34,54877,2465,,50,366,1,,dps,
TK7,Horde,Monk,3,3,30,33851,10463,,30,507,1,,dps,
TK7,Horde,Warrior,3,3,33,22460,2094,1,103,513,1,,dps,
TK7,Horde,Monk,0,3,34,811,29869,,0,515,1,,heal,
TK7,Alliance,Warrior,7,5,29,18734,743,2,136,195,,1,dps,
TK7,Alliance,Demon Hunter,0,4,29,14271,6498,1,36,195,,1,dps,
TK8,Alliance,Paladin,0,0,46,776,44074,,0,389,1,,heal,
TK8,Horde,Demon Hunter,1,5,12,22140,3990,1,22,136,,1,dps,
TK8,Alliance,Warlock,5,0,46,23575,9552,,50,453,1,,dps,
TK8,Alliance,Demon Hunter,5,1,43,14415,4208,2,311,383,1,,dps,
TK8,Alliance,Demon Hunter,2,3,41,11999,954,3,153,379,1,,dps,
TK8,Alliance,Rogue,7,2,41,15652,680,1,107,529,1,,dps,
TK8,Horde,Shaman,0,6,11,2161,10910,3,70,134,,1,heal,
TK8,Horde,Shaman,0,5,8,1813,789,2,41,128,,1,dps,
TK8,Horde,Rogue,2,6,11,11151,1511,1,52,135,,1,dps,
TK8,Alliance,Hunter,3,2,45,23767,16689,2,202,445,1,,dps,
TK8,Alliance,Warrior,8,2,39,9592,2314,2,365,375,1,,dps,
TK8,Horde,Mage,1,6,9,14868,684,,10,130,,1,dps,
TK8,Horde,Rogue,0,3,11,6714,858,,0,135,,1,dps,
TK8,Alliance,Rogue,3,2,39,11241,1791,2,197,435,1,,dps,
TK8,Alliance,Paladin,7,0,46,23275,7033,1,88,389,1,,dps,
TK8,Horde,Warlock,2,4,9,22391,9911,2,56,130,,1,dps,
TK8,Horde,Rogue,5,5,13,20230,3127,,50,139,,1,dps,
TK8,Alliance,Warrior,6,1,43,21528,3270,,60,442,1,,dps,
TK8,Horde,Mage,2,4,13,11738,6312,,20,139,,1,dps,
TK9,Horde,Monk,10,7,26,37017,1028,2,167,232,,1,dps,
TK9,Alliance,Mage,1,2,51,23153,4868,1,78,409,1,,dps,
TK9,Horde,Rogue,4,6,25,14648,1417,,40,230,,1,dps,
TK9,Alliance,Paladin,2,5,40,14447,4293,5,318,400,1,,dps,
TK9,Alliance,Warrior,4,3,51,20146,954,2,144,409,1,,dps,
TK9,Horde,Hunter,2,5,28,24702,5084,3,159,236,,1,dps,
TK9,Horde,Warrior,3,7,20,14067,1804,,30,220,,1,dps,
TK9,Alliance,Mage,7,1,59,26239,3853,,70,425,1,,dps,
TK9,Horde,Demon Hunter,2,5,26,32412,5569,1,152,232,,1,dps,
TK9,Alliance,Death Knight,7,6,51,27515,13645,6,342,559,1,,dps,
TK9,Horde,Shaman,1,2,12,6719,1310,,10,138,,1,dps,
TK9,Horde,Shaman,1,6,27,4967,31241,3,89,234,,1,heal,
TK9,Alliance,Shaman,12,3,52,31495,11740,1,234,411,1,,dps,
TK9,Alliance,Rogue,6,3,54,27217,1183,,60,565,1,,dps,
TK9,Alliance,Rogue,11,2,57,17946,2051,,110,421,1,,dps,
TK9,Alliance,Paladin,10,3,55,35660,9172,1,121,417,1,,dps,
TK9,Horde,Priest,5,7,28,33481,11695,3,148,236,,1,dps,
TK9,Horde,Paladin,0,4,27,8769,5616,4,126,234,,1,dps,
TK9,Horde,Rogue,4,8,27,20585,70,,40,234,,1,dps,
TK9,Alliance,Monk,0,4,55,105,66324,1,43,567,1,,heal,
TK10,Alliance,Priest,4,6,28,45014,8505,,40,226,,1,dps,
TK10,Alliance,Hunter,2,7,28,19295,4850,3,90,229,,1,dps,
TK10,Horde,Monk,5,4,45,13002,8463,5,433,528,1,,dps,
TK10,Alliance,Rogue,2,3,31,17239,2686,1,99,230,,1,dps,
TK10,Alliance,Warlock,2,4,11,15464,5659,2,79,147,,1,dps,
TK10,Horde,Death Knight,3,2,49,10892,10115,2,117,546,1,,dps,
TK10,Horde,Paladin,8,1,50,41327,12071,,80,398,1,,dps,
TK10,Horde,Rogue,3,6,48,16656,4192,5,98,394,1,,dps,
TK10,Alliance,Druid,2,0,8,8264,2812,,20,110,,1,dps,
TK10,Horde,Shaman,0,2,49,5464,66158,1,34,546,1,,heal,
TK10,Horde,Demon Hunter,12,4,47,28853,4672,1,206,395,1,,dps,
TK10,Alliance,Warrior,2,7,25,8935,759,4,218,222,,1,dps,
TK10,Alliance,Demon Hunter,5,7,27,44477,7646,,50,226,,1,dps,
TK10,Horde,Paladin,8,4,41,35243,8573,1,133,530,1,,dps,
TK10,Horde,Priest,0,2,45,344,41371,1,4,538,1,,heal,
TK10,Horde,Paladin,10,0,52,28796,5919,,100,402,1,,dps,
TK10,Alliance,Paladin,0,5,26,3389,19144,1,41,224,,1,heal,
TK10,Alliance,Demon Hunter,2,7,20,21366,260,2,82,211,,1,dps,
TK10,Horde,Warlock,2,6,42,22136,19597,4,322,382,1,,dps,
TK10,Alliance,Warlock,8,4,29,28722,16078,2,171,231,,1,dps,
TK11,Alliance,Warlock,3,6,15,25219,5384,1,63,145,,1,dps,
TK11,Horde,Rogue,2,2,43,9855,1301,3,300,379,1,,dps,
TK11,Alliance,Warlock,0,0,4,8131,5667,,0,104,,1,dps,
TK11,Horde,Death Knight,3,1,43,38620,7204,1,163,529,1,,dps,
TK11,Alliance,Shaman,3,6,15,10415,2947,1,42,145,,1,dps,
TK11,Horde,Demon Hunter,4,2,44,27838,4272,1,57,381,1,,dps,
TK11,Horde,Warrior,5,4,35,16007,2137,1,168,513,1,,dps,
TK11,Horde,Shaman,0,3,41,4601,42311,3,108,525,1,,heal,
TK11,Alliance,Death Knight,2,4,15,22344,6085,,20,146,,1,dps,
TK11,Alliance,Death Knight,2,3,13,8995,5168,,20,141,,1,dps,
TK11,Alliance,Death Knight,4,4,16,28500,7693,1,62,146,,1,dps,
TK11,Alliance,Rogue,4,5,14,14064,3306,,40,143,,1,dps,
TK11,Horde,Rogue,1,1,43,10390,1553,,10,379,1,,dps,
TK11,Horde,Paladin,16,0,45,35090,11090,,160,383,1,,dps,
TK11,Horde,Druid,2,5,40,10537,7122,4,170,373,1,,dps,
TK11,Horde,Warrior,6,2,42,20952,2547,1,294,527,1,,dps,
TK11,Alliance,Rogue,1,5,18,12065,5445,1,41,152,,1,dps,
TK11,Alliance,Druid,0,3,18,861,24177,,0,150,,1,heal,
TK11,Horde,Shaman,6,0,45,13205,5719,1,81,533,1,,dps,
TK11,Alliance,Demon Hunter,1,7,11,6843,828,1,31,137,,1,dps,
TK12,Alliance,Hunter,0,0,3,8519,7349,,0,153,,1,dps,
TK12,Horde,Demon Hunter,1,0,26,23318,1301,,10,503,1,,dps,
TK12,Alliance,Druid,0,2,3,12462,7766,,0,153,,1,dps,
TK12,Alliance,Hunter,0,3,1,59714,4953,1,16,145,,1,dps,
TK12,Horde,Priest,1,0,26,6914,98271,,10,353,1,,heal,
TK12,Horde,Death Knight,5,0,26,39247,8481,,50,503,1,,dps,
TK12,Horde,Shaman,0,1,24,2350,35636,2,320,499,1,,heal,
TK12,Horde,Warlock,1,0,26,16071,1684,,10,353,1,,dps,
TK12,Alliance,Rogue,0,4,2,36982,3574,,0,149,,1,dps,
TK12,Horde,Paladin,4,0,26,27810,5621,1,230,503,1,,dps,
TK12,Alliance,Warrior,0,3,1,11540,1653,1,16,146,,1,dps,
TK12,Alliance,Mage,1,3,2,16299,6069,,10,150,,1,dps,
TK12,Horde,Rogue,1,1,25,13529,4761,1,268,501,1,,dps,
TK12,Horde,Mage,7,0,26,22797,5377,,70,501,1,,dps,
TK12,Alliance,Priest,0,3,2,4152,11838,,0,149,,1,heal,
TK12,Horde,Warrior,3,0,26,28089,3314,1,358,501,1,,dps,
TK12,Alliance,Demon Hunter,1,4,3,29015,3672,1,30,153,,1,dps,
TK12,Alliance,Rogue,0,3,1,21828,9299,,0,145,,1,dps,
TK12,Horde,Death Knight,3,1,24,14902,25871,2,198,497,1,,dps,
TK13,Alliance,Druid,1,5,34,579,131000,3,78,400,,1,heal,
TK13,Alliance,Warlock,0,7,35,28988,21865,6,258,403,,1,dps,
TK13,Alliance,Death Knight,7,5,38,140000,23607,3,224,410,,1,dps,
TK13,Horde,Demon Hunter,4,2,46,71962,19836,,40,541,1,,dps,
TK13,Alliance,Hunter,6,6,37,101000,5765,1,128,408,,1,dps,
TK13,Horde,Monk,0,3,47,0,176000,1,24,393,1,,heal,
TK13,Horde,Rogue,9,2,49,78323,23932,,90,547,1,,dps,
TK13,Horde,Shaman,7,5,40,99117,7920,1,104,529,1,,dps,
TK13,Horde,Warrior,10,4,49,89436,16007,,100,547,1,,dps,
TK13,Alliance,Mage,5,8,35,94137,36356,3,220,404,,1,dps,
